NomDep;NomLoc;zip2010;zip2022
CASTELLANOS;EUSEBIA Y CAROLINA;eusebiaycarolinaa3h;EUSEBIAYCAROLINA
CASTELLANOS;EUSTOLIA;eustoliaa3h;EUSTOLIA
LAS COLONIAS;FELICIA;Feliciaa3h;FELICIA
ROSARIO;FIGHIERA;fighieraa1h;FIGHIERA
GENERAL LOPEZ;FIRMAT;firmata1v;FIRMAT
GENERAL OBLIGADO;FLOR DE ORO;FLORDEORO;FLORDEORO
GENERAL OBLIGADO;FLORENCIA;FLORENCIAA2H;FLORENCIA
VERA;FORTIN CHARRUA;FORTINCHARRUA;FORTINCHARRUA
VERA;FORTIN OLMOS;FortinOlmosA3H;FORTINOLMOS
LAS COLONIAS;FRANCK;Francka2v;FRANCK
SAN LORENZO;FRAY LUIS BELTRAN;frayluisbeltrana2h;FRAYLUISBELTRAN
CASTELLANOS;FRONTERA;fronteraa2v;FRONTERA
SAN LORENZO;FUENTES;fuentesa2h;FUENTES
ROSARIO;FUNES;funesa0h;FUNES
SAN JERONIMO;GABOTO;gabotoa2V;GABOTO
SAN JERONIMO;GALVEZ;galveza1h;GALVEZ
VERA;GARABATO;GarabatoA3V;GARABATO
CASTELLANOS;GARIBALDI;garibaldia3h;GARIBALDI
9 DE JULIO;GATO COLORADO;GATOCOLORADO;GATOCOLORADO
CONSTITUCION;GENERAL GELLY;generalgellya3h;GENERALGELLY
ROSARIO;GENERAL LAGOS;generallagosa3h;GENERALLAGOS
SAN JERONIMO;GESSLER;gesslera3v;GESSLER
SAN JUSTO;GOBERNADOR CRESPO;gobernadorcrespoa2v;GOBERNADORCRESPO
CASEROS;GODEKEN;Godekena3h;GODEKEN
CONSTITUCION;GODOY;godoya3h;GODOY
VERA;GOLONDRINA;Golondrinaa3v;GOLONDRINA
ROSARIO;GRANADERO BAIGORRIA;granaderobaigorriaa1h;GRANADEROBAIGORRIA
9 DE JULIO;GREGORIA PEREZ DE DENIS;gregoriaperezdedenisa3h;GREGORIAPEREZDEDENIS
LAS COLONIAS;GRUTLY;grutlya3h;GRUTLY
GENERAL OBLIGADO;GUADALUPE NORTE;guadalupenortea3v;GUADALUPENORTE
GARAY;HELVECIA;helveciaa2h;HELVECIA
SAN CRISTOBAL;HERSILIA;hersiliaa2h;HERSILIA
LAS COLONIAS;HIPATIA;hipatiaa3v;HIPATIA
SAN CRISTOBAL;HUANQUEROS;huanquerosa3h;HUANQUEROS
GENERAL LOPEZ;HUGHES;huguesa2h;HUGHES
CASTELLANOS;HUMBERTO PRIMO;humbertoprimoa2h;HUMBERTOPRIMO
LAS COLONIAS;HUMBOLDT;Humboldta2v;HUMBOLDT
ROSARIO;IBARLUCEA;Ibarluceaa1h;IBARLUCEA
GENERAL OBLIGADO;INGENIERO CHANOURDIE;IngChanourdiea3h;INGENIEROCHANOURDIE
VERA;INTIYACO;intiyacoA3H;INTIYACO
SAN JERONIMO;IRIGOYEN;IRIGOYEN;IRIGOYEN
LAS COLONIAS;JACINTO L ARAUZ;jacintoarauza3h;JACINTOLARAUZ
CASTELLANOS;JOSEFINA;josefinaa3v;JOSEFINA
CONSTITUCION;JUAN B MOLINA;jbmolinaa3h;JUANBMOLINA
CONSTITUCION;JUNCAL;juncala3h;JUNCAL
ROSARIO;KILOMETRO 101;km101a3v;KILOMETRO101
VERA;KILOMETRO 115;km115a3v;KILOMETRO115
VERA;KILOMETRO 12;KILOMETRO12;KILOMETRO12
VERA;KILOMETRO 302;KILOMETRO302;KILOMETRO302
SAN JAVIER;LA BRAVA;Labravaa3v;LABRAVA
SAN CRISTOBAL;LA CABRAL;lacabrala3h;LACABRAL
GENERAL LOPEZ;LA CHISPA;lachispaa3h;LACHISPA
SAN JUSTO;LA CRIOLLA;lacriollaa3h;LACRIOLLA
VERA;LA GALLARETA;Lagallaretaa3h1;LAGALLARETA
GENERAL OBLIGADO;LA ISLETA;laisletaa3v;LAISLETA
LAS COLONIAS;LA PELADA;lapeladaa3h;LAPELADA
SAN JUSTO;LA PENCA Y CARAGUATA;lapencaycaraguataa3h;LAPENCAYCARAGUATA
GENERAL OBLIGADO;LA RESERVA;LARESERVA;LARESERVA
SAN CRISTOBAL;LA RUBIA;larubiaa3h;LARUBIA
GENERAL OBLIGADO;LA SARITA;lasaritaa3h;LASARITA
CONSTITUCION;LA VANGUARDIA;lavanguardiaa3v;LAVANGUARDIA
GENERAL LOPEZ;LABORDEBOY;labordeboya3h;LABORDEBOY
LA CAPITAL;LAGUNA PAIVA;lagunapaivaa1v;LAGUNAPAIVA
SAN MARTIN;LANDETA;Landetaa3h;LANDETA
GENERAL OBLIGADO;LANTERI;LANTERIA3H;LANTERI
IRIONDO;LARGUIA;larguiaa3v;LARGUIA
SAN JERONIMO;LARRECHEA;larrecheaa3h;LARRECHEA
SAN CRISTOBAL;LAS AVISPAS;lasavispasa3v;LASAVISPAS
